cabang,scale_bucket,zero_bucket,n_sku
02A,high,dense,150
02A,low,dense,13
02A,low,semi_sparse,43
02A,low,sparse,27
02A,medium,dense,176
02A,medium,semi_sparse,40
05A,high,dense,188
05A,low,dense,24
05A,low,semi_sparse,41
05A,low,sparse,27
05A,medium,dense,310
05A,medium,semi_sparse,43
13A,high,dense,10
13I,high,dense,237
13I,low,dense,35
13I,low,semi_sparse,73
13I,low,sparse,25
13I,medium,dense,304
13I,medium,semi_sparse,26
14A,high,dense,307
14A,low,dense,21
14A,low,semi_sparse,52
14A,low,sparse,39
14A,medium,dense,262
14A,medium,semi_sparse,49
16C,high,dense,17
16C,high,semi_sparse,162
16C,low,semi_sparse,101
16C,low,sparse,139
16C,medium,semi_sparse,329
17A,high,dense,10
23A,high,dense,10
29A,high,dense,204
29A,high,semi_sparse,1
29A,low,dense,3
29A,low,semi_sparse,45
29A,low,sparse,45
29A,medium,dense,220
29A,medium,semi_sparse,82
