cabang,n_sku,median_zero_ratio,mean_zero_ratio,median_qty_median,mean_qty_median
02A,449,0.024390243902439025,0.12377856708475884,24.0,90.82850779510022
05A,633,0.024390243902439025,0.0989262230720474,24.0,85.07740916271722
13A,10,0.0,0.0,1778.5,2152.0
13I,700,0.0,0.09536478626209051,24.0,117.91928571428572
14A,730,0.0,0.10257959553759402,34.5,111.3972602739726
16C,748,0.34146341463414637,0.38126339836582984,12.0,79.0220588235294
17A,10,0.0,0.0,1097.5,1210.4
23A,10,0.0,0.0,2045.0,2392.5
29A,600,0.04878048780487805,0.1447699937643776,24.0,83.05333333333333
