cabang,event_month_ratio,mean_holiday_count,mean_rainfall_lag1,rain_nz_ratio
02A,0.2206267744048919,2.1005678095654075,0.0,0.0
05A,0.24443499768124904,2.0991652496521875,0.0,0.0
13A,0.1951219512195122,2.097560975609756,0.0,0.0
13I,0.29386041630225646,2.100892076263775,0.0,0.0
14A,0.29359986561397616,2.1010582899378463,0.0,0.0
16C,0.31818330659157146,2.1014440551426046,170.52450740156422,0.9265201873014833
17A,0.34146341463414637,2.097560975609756,0.0,0.0
23A,0.2926829268292683,2.097560975609756,0.0,0.0
29A,0.22048015678588928,2.101053405193533,0.0,0.0
